old_name,new_name,convert_to_old_name
katanga,tanganyika,
katanga,haut-lomami,
katanga,lualaba,
katanga,haut-katanga,
kasai-oriental,lomami,
kasai-oriental,sankuru,
kasai-oriental,kasai-oriental,
kinshasa,kinshasa,
kasai-occidental,kasai-central,
kasai-occidental,kasai,
bas-congo,kongo-central,
bandundu,kwango,
bandundu,kwilu,
bandundu,mai-ndombe,
equateur,equateur,
equateur,tshuapa,
equateur,mongala,
equateur,nord-ubangi,
equateur,sud-ubangi,
oriental,bas-uele,
oriental,haut-uele,
oriental,ituri,
oriental,tshopo,
maniema,maniema,
nord-kivu,nord-kivu,
sud-kivu,sud-kivu,
